中文名称,英文名称,定义,,,,,
多体雄蕊,polyadelphous stamen,花中雄蕊多数，花丝联合成多束，花药分离，如费叶金丝桃、地耳草等藤黄科植物和橘、 酸橙等部分芸香科植物的雄蕊。,,,,,
聚药雄蕊,synantherous stamen,花中雄蕊的花药联合成筒状，花丝分离，如蒲公英、白术等菊科植物的雄蕊。,,,,,
雌蕊群,gynoecium,1朵花中所有雌蕊（pistil）的总称，位于花的中心部分。,,,,,
子房,ovary,是雌蕊基部膨大的球状部分，常呈椭圆形、卵形等形状，其底部着生在花托上。,,,,,
花柱,style,是子房上端收缩变细并上延的颈状部位，也是花粉管进入子房的通道。,,,,,
柱头,stigma,是花柱顶部稍膨大的部分，为承受花粉的部位。,,,,,
合蕊柱,gynostemium,植物的花柱与雄蕊合生成的柱状体，如白及等兰科植物。,,,,,
单雌蕊,simple pistil,由1个心皮构成的雌蕊，如豆科植物的雌蕊。,,,,,
复雌蕊,syncarpous pistil,由1朵花内的2个或2个以上心皮彼此联合构成的复合雌蕊，如大戟科的三心皮复雌蕊。,,,,,
离生雌蕊,apocarpous pistil,1朵花内有2至多数单雌蕊，彼此分离，聚集在花托上的雌蕊类型，如毛茛等毛茛科植物、厚朴等木兰科植物的雌蕊。,,,,,
子房上位,superior ovary,花托扁平或隆起，子房仅底部与花托相连，称子房上位，花被、雄蕊均着生在子房下方的花托边缘，这种花称下位花（hypogynous flower），如油菜、金丝桃、百合等。若花托下陷为杯状，子房仅基部着生于杯状凹陷内壁的中央或侧壁上，亦称为子房上位，花被、雄蕊则着生于杯状花托的上端边缘，称周位花（perigynous flower），如桃、杏、金樱子等。,,,,,
子房半下位,half-inferior ovary,子房下半部着生于凹陷的花托中并与花托愈合，上半部外露，称子房半下位；花被、雄蕊均着生于花托四周的边缘，为周位花，如桔梗、党参、马齿苋等。,,,,,
子房下位,inferior ovary,花托凹陷，子房完全生于花托内并与花托愈合，称子房下位；花被、雄蕊均着生于子房上方的花托边缘，称上位花（epigynous flower），如贴梗海棠、丝瓜等。,,,,,
完全花,complete flower,指1朵同时具有花萼、花冠、雄蕊群、雌蕊群的花。,,,,,
不完全花,incomplete flower,指缺少花萼、花冠、雄蕊群、雌蕊群其中一部分或几部分的花。,,,,,
无被花,achlamydeous flower,指既没有花萼也没有花冠的花，无被花在花梗下部或基部常具有显著的苞片，如蕺菜、胡椒、杜仲等的花。,,,,,
单被花,simple perianth flower,指仅有花萼而无花冠的花，这种花萼称花被。单被花的花被片常呈一轮或多轮排列，多具鲜艳的颜色，如玉兰的花被片为白色，白头翁的花被片为紫色等。,,,,,
重被花,double perianth flower,指同时具有花萼和花冠的花，如桃、甘草等的花。,,,,,
重瓣花,double flower,指花瓣常呈数轮排列且数目较多的花，常见于栽培植物的花。,,,,,
两性花,bisexual flower,同时具有雄蕊和雌蕊的花，如桔梗、油菜等的花。,,,,,
单性花,unisexual flower,指仅有雄蕊或仅有雌蕊的花，其中仅有雄蕊的花称雄花（male flower），仅有雌蕊的花称雌花（female flower）。同株植物既有雄花又有雌花称单性同株或雌雄同株（monoecism），如南瓜、半夏等；若同种植物的雌花和雄花分别生于不同植株上称单性异株或雌雄异株（dioecism），如银杏、天南星等。同种植物既有两性花又有单性花称花杂性，两者生于同一植株上称杂性同株（polygamomonoecious），如朴树；若两者分别生于不同植株上称杂性异株（polygamodioecious），如葡萄、臭椿等。,,,,,
