序号,类群,科中文名,药典/地方,科序,科拉丁名,科特征记忆模块,未知科检索模块
13,3,百部科 ,药典,48,Stemonaceae,多年生草本，或藤本，具根状茎或块根。叶互生，对生或轮生，横出平行脉。单生花腋生，花两性，辐射对称；单被花，花被片4，2轮；雄蕊4枚，花丝分离或基部梢合生；子房上位至半下位。蒴果开裂为2瓣；有胚乳种子。,多年生草本。藤本。直立茎。攀援茎。缠绕茎。根状茎。块根。叶互生。叶对生。叶轮生。基出脉。平行脉。两性花。辐射对称。单被花。子房上位。子房半下位。蒴果。有胚乳种子。
14,3,藜芦科,拆科,53,Melanthiaceae,多年生草本。具根状茎、鳞茎或块茎，地上茎直立。单生，基生或茎生，茎生叶常螺旋状排列。总状花序或圆锥花序顶生；花两性，单被花，花被片6枚；雄蕊与花被片同数对生或互生；雌蕊子房上位。蒴果或浆果。,多年生草本。根状茎。鳞茎。块茎。直立茎。单叶。叶基生。叶互生。总状花序。圆锥花序。单生花。单被花。两性。定数离生雄蕊。雄蕊与花被片同数互生。雄蕊与花被片同数对生。子房上位。蒴果。浆果。
15,3,菝葜科,拆科,59,Smilacaceae,多攀援灌木。茎枝或有皮刺。单叶互生，具3-7主脉和网状细脉；叶柄两侧常有翅状鞘，有托叶卷须或无。伞形花序或再组成复花序；花常单性，雌雄异株；单被花；离生雄蕊常6枚，或合生雄蕊；雌花常有3-6枚退化雄蕊，子房上位，柱头3裂。浆果。,攀援灌木。直立灌木。草本。皮刺。叶互生。弧形脉。网状脉。翅状鞘。托叶卷须。单性花。雌雄异株。两性花。伞形花序。复伞形花序。单被花。子房上位。浆果。
16,3,百合科 *,药典,60,Liliaceae,草本，具根茎、鳞茎或球茎。茎直立或攀援状。花序各式但决不为伞形花序；花两性，稀单性花，辐射对称；单被花，花被片6枚；离生雄蕊常6枚；子房上位，稀半下位。蒴果或浆果。,草本。根状茎。鳞茎。球茎。直立茎。攀援茎。两性花。单性花。辐射对称。单被花。离生雄蕊。子房上位。子房半下位。蒴果。浆果。
17,3,兰科*,药典,61,Orchidaceae,陆生、附生或腐生草本。陆生及腐生者常具根状茎或块茎，附生者常具假鳞茎以及肥厚而有根被的气生根。多在种子萌发时与真菌共生。单叶，常互生，或生于假鳞茎顶端或近顶端处。总状花序或圆锥花序，花两性，单被花，花被片6枚，2轮，内轮中央1枚称为唇瓣；雄蕊和花柱、柱头完全愈合而成合蕊柱，具花粉块；子房下位。蒴果；种子细小，极多数。,多年生草本。陆生。附生。腐生。根状茎。块茎。假鳞茎。气生根。单叶。叶互生。叶对生。叶轮生。全缘。两性花。两侧对称。单生花。总状花序。圆锥花序。单被花。唇瓣。合蕊柱。花粉块。子房下位。侧膜胎座。蒴果。
18,3,鸢尾科*,药典,70,Iridaceae,多年生草本，有根茎、块茎或鳞茎。叶常基生而嵌叠状，剑形或线形。花美丽，两性，辐射对称或左右对称。由2至数枚苞片组成的佛焰苞内抽出，通常排成聚伞花序。花被片6，2列，下部合生成一管。雄蕊3。子房下位，稀上位（我国不产），3室，有胚珠多数生于中轴胎座上，花柱1，柱头3，有时扩大而呈花瓣状或分裂：蒴果。,草本。鳞茎。叶基生。两性花。辐射对称。单生花。伞形花序。单被花。副花冠。离生雄蕊。雄蕊与花被片同数对生。假副花冠。子房上位。子房下位。蒴果。
19,3,石蒜科 ,药典,73,Amaryllidaceae,草本，有一具膜被的鳞茎或地下茎。叶少数，多少线形，基生。花两性，辐射对称，单生或多朵于花茎之顶排成伞形花序，下有总苞片1至数枚。花被花瓣状，有管或无管，裂片6，2列。副花冠常具存。雄蕊6，稀更多，与花被裂片对生。花丝分离或基部扩大而合成一假副花冠。子房上位或下位，3室。胚珠通常极多数，生于中轴（两侧膜）胎座上。蒴果，或肉质而不开裂。,多年生草本。灌木。藤本。乔木状。鳞茎。球茎。根状茎。块根。叶基生。鳞叶。总状花序。穗状花序。圆锥花序。头状花序。单生花。两性花。单被花。定数离生雄蕊。雄蕊与花被片同数对生。子房上位。子房下位。蒴果。室背开裂。浆果。
20,3,天门冬科*,拆科,74,Asparagaceae,多年生草本、灌木、藤本或乔木状。具鳞茎、球茎、根状茎或肉质根。叶形多样，线形、带状、剑形、针形等，叶基部具膜质鞘。总状花序、穗状花序或圆锥花序，少为头状花序或单生花；花两性，单被花，花被片6枚，2轮；雄蕊与花被片同数对生；子房上位或下位；蒴果，少为浆果。,多年生草本。灌木。藤本。乔木状。鳞茎。球茎。根状茎。肉质根。单叶。叶基生。膜质鞘。总状花序。穗状花序。圆锥花序。头状花序。单生花。两性花。单被花。雄蕊与花被片同数对生。子房上位。子房下位。蒴果。浆果。
21,3,棕榈科,药典,76,Arecaceae,灌木、藤本或乔木，茎通常不分枝，单生或几丛生，或有刺，或被残存老叶柄的基部或叶痕。单叶互生，在芽时折叠，羽状或掌状分裂；叶柄基部通常扩大成具纤维的鞘。花单性或两性，雌雄同株或异株，有时杂性，组成分枝或不分枝的佛焰花序（或肉穗花序）；重被花，3基数，合生萼或离生萼，合瓣花或离瓣花；雄蕊6枚，2轮；复雌蕊或离生雌蕊，心皮3枚。核果或硬浆果；有胚乳种子。,灌木。藤本。乔木。单叶。叶互生。羽状分裂。掌状分裂。叶柄基部纤维鞘。单性花。两性花。雌雄同株。雌雄异株。杂性。佛焰花序。肉穗花序。重被花。合生萼。离生萼。合瓣花。离瓣花。定数离生雄蕊。复雌蕊。离生雌蕊。核果。硬浆果。有胚乳种子。pqst
22,3,鸭跖草科,药典,78,Commelinaceae,草本。茎有节，直立或披散。叶互生，具叶鞘。聚伞花序或圆锥花序；花两性，辐射对称或左右对称，重被花，常蓝色，3基数；离生雄蕊6枚；子房上位。蒴果。种子常有假种皮。,直立草本。披散草本。叶互生。叶鞘。聚伞花序。圆锥花序。两性花。辐射对称。左右对称。合瓣花3。离生雄蕊。退化雄蕊。子房上位。蒴果。假种皮。有胚乳种子。
